index,rank,song,artist_base,artist_all,year,artist_featured
4,5,play that funky music,wild cherry,wild cherry,1976,
5,6,kiss and say goodbye,the manhattans,the manhattans,1976,
6,7,love machine,the miracles,the miracles,1976,
7,8,50 ways to leave your lover,paul simon,paul simon,1976,
8,9,love is alive,gary wright,gary wright,1976,
9,10,a fifth of beethoven,walter murphy,walter murphy  & the big apple band,1976,
10,11,sara smile,hall & oates,hall & oates,1976,
11,12,afternoon delight,starland vocal band,starland vocal band,1976,
12,13,i write the songs,barry manilow,barry manilow,1976,
13,14,"fly, robin, fly",silver convention,silver convention,1976,
14,15,love hangover,diana ross,diana ross,1976,
15,16,get closer,seals and crofts,seals and crofts,1976,
16,17,"more, more, more",andrea true,andrea true connection,1976,
17,18,bohemian rhapsody,queen,queen,1976,
18,19,misty blue,dorothy moore,dorothy moore,1976,
19,20,boogie fever,the sylvers,the sylvers,1976,
20,21,i'd really love to see you tonight,england dan & john ford coley,england dan & john ford coley,1976,
21,22,you sexy thing,hot chocolate,hot chocolate,1976,
22,23,love hurts,nazareth,nazareth,1976,
23,24,get up and boogie,silver convention,silver convention,1976,
24,25,take it to the limit,eagles,eagles,1976,
25,26,"(shake, shake, shake) shake your booty",kc and the sunshine band,kc and the sunshine band,1976,
26,27,sweet love,commodores,commodores,1976,
27,28,right back where we started from,maxine nightingale,maxine nightingale,1976,
28,29,theme from ,rhythm heritage,rhythm heritage,1976,
29,30,love rollercoaster,ohio players,ohio players,1976,
30,31,you should be dancing,bee gees,bee gees,1976,
31,32,you'll never find another love like mine,lou rawls,lou rawls,1976,
32,33,golden years,david bowie,david bowie,1976,
33,34,moonlight feels right,starbuck,starbuck,1976,
34,35,only sixteen,dr. hook,dr. hook,1976,
35,36,let your love flow,the bellamy brothers,the bellamy brothers,1976,
36,37,dream weaver,gary wright,gary wright,1976,
37,38,turn the beat around,vicki sue robinson,vicki sue robinson,1976,
38,39,lonely night (angel face),captain & tennille,captain & tennille,1976,
39,40,all by myself,eric carmen,eric carmen,1976,
40,41,love to love you baby,donna summer,donna summer,1976,
41,42,deep purple,donny osmond,donny  &  marie osmond,1976,
42,43,theme from ,diana ross,diana ross,1976,
43,44,sweet thing,rufus,rufus,1976,
44,45,that's the way (i like it),kc and the sunshine band,kc and the sunshine band,1976,
45,46,a little bit more,dr. hook,dr. hook,1976,
46,47,shannon,henry gross,henry gross,1976,
47,48,if you leave me now,chicago,chicago,1976,
48,49,swayin to the music slow dancin,boz scaggs,boz scaggs,1976,
49,50,show me the way,peter frampton,peter frampton,1976,
50,51,dream on,aerosmith,aerosmith,1976,
51,52,i love music,the o'jays,the o'jays,1976,
52,53,say you love me,fleetwood mac,fleetwood mac,1976,
53,54,times of your life,paul anka,paul anka,1976,
54,55,devil woman,cliff richard,cliff richard,1976,
55,56,fooled around and fell in love,elvin bishop,elvin bishop,1976,
56,57,convoy,c. w. mccall,c. w. mccall,1976,
57,58,welcome back,john sebastian,john sebastian,1976,
58,59,sing a song,"earth, wind & fire","earth, wind & fire",1976,
59,60,heaven must be missing an angel,tavares,tavares,1976,
60,61,i'll be good to you,the brothers johnson,the brothers johnson,1976,
61,62,rock and roll music,the beach boys,the beach boys,1976,
62,63,shop around,captain & tennille,captain & tennille,1976,
63,64,saturday night,bay city rollers,bay city rollers,1976,
64,65,island girl,elton john,elton john,1976,
65,66,let's do it again,the staple singers,the staple singers,1976,
66,67,let 'em in,wings,wings,1976,
67,68,baby face,wing and a prayer fife and drum corps,wing and a prayer fife and drum corps,1976,
68,69,this masquerade,george benson,george benson,1976,
69,70,evil woman,electric light orchestra,electric light orchestra,1976,
70,71,wham bam,silver,silver,1976,
71,72,i'm easy,keith carradine,keith carradine,1976,
72,73,wake up everybody,david dundas,harold melvin & the blue notes,1976,
73,74,summer,war,war,1976,
74,75,let her in,john travolta,john travolta,1976,
75,76,fox on the run,the sweet,sweet,1976,
76,77,rhiannon,fleetwood mac,fleetwood mac,1976,
77,78,got to get you into my life,the beatles,the beatles,1976,
78,79,fanny (be tender with my love),bee gees,bee gees,1976,
79,80,getaway,"earth, wind & fire","earth, wind & fire",1976,
80,81,she's gone,hall & oates,hall & oates,1976,
81,82,still the one,orleans,orleans,1976,
82,83,you're my best friend,queen,queen,1976,
83,84,with your love,jefferson starship,jefferson starship,1976,
84,85,slow ride,foghat,foghat,1976,
85,86,who'd she coo?,ohio players,ohio players,1976,
86,87,the boys are back in town,thin lizzy,thin lizzy,1976,
87,88,walk away from love,david ruffin,david ruffin,1976,
88,89,"baby, i love your way (live)",peter frampton,peter frampton,1976,
89,90,young hearts run free,candi staton,candi staton,1976,
90,91,breaking up is hard to do,neil sedaka,neil sedaka,1976,
91,92,money honey,bay city rollers,bay city rollers,1976,
92,93,give up the funk (tear the roof off the sucker),parliament,parliament,1976,
93,94,junk food junkie,larry groce,larry groce,1976,
94,95,tryin' to get the feeling again,barry manilow,barry manilow,1976,
95,96,rock and roll all nite,kiss,kiss,1976,
96,97,disco duck,rick dees,rick dees  & his cast of idiots,1976,
97,98,take the money and run,steve miller band,steve miller band,1976,
98,99,squeeze box,the who,the who,1976,
99,100,country boy (you got your feet in l.a.),cj and co,glen campbell,1976,
0,1,tonight's the night (gonna be alright),rod stewart,rod stewart,1977,
1,2,i just want to be your everything,andy gibb,andy gibb,1977,
2,3,best of my love,the emotions,the emotions,1977,
3,4,evergreen (love theme from ,barbra streisand,barbra streisand,1977,
4,5,angel in your arms,hot,hot,1977,
5,6,i like dreamin',kenny nolan,kenny nolan,1977,
6,7,don't leave me this way,thelma houston,thelma houston,1977,
7,8,(your love has lifted me) higher and higher,rita coolidge,rita coolidge,1977,
8,9,undercover angel,alan o'day,alan o'day,1977,
9,10,torn between two lovers,mary macgregor,mary macgregor,1977,
10,11,i'm your boogie man,kc and the sunshine band,kc and the sunshine band,1977,
11,12,dancing queen,abba,abba,1977,
12,13,you make me feel like dancing,leo sayer,leo sayer,1977,
13,14,margaritaville,jimmy buffett,jimmy buffett,1977,
14,15,telephone line,electric light orchestra,electric light orchestra,1977,
15,16,whatcha gonna do?,pablo cruise,pablo cruise,1977,
16,17,do you wanna make love,peter mccann,peter mccann,1977,
17,18,sir duke,stevie wonder,stevie wonder,1977,
18,19,hotel california,eagles,eagles,1977,
19,20,got to give it up,marvin gaye,marvin gaye,1977,
20,21,gonna fly now,bill conti,"bill conti , deetta little and nelson pigford",1977,
21,22,southern nights,glen campbell,glen campbell,1977,
22,23,rich girl,hall & oates,hall & oates,1977,
23,24,when i need you,leo sayer,leo sayer,1977,
24,25,hot line,the sylvers,the sylvers,1977,
25,26,car wash,rose royce,rose royce,1977,
26,27,you don't have to be a star (to be in my show),marilyn mccoo,marilyn mccoo  &  billy davis jr.,1977,
27,28,fly like an eagle,steve miller band,steve miller band,1977,
28,29,don't give up on us,david soul,david soul,1977,
29,30,on and on,stephen bishop,stephen bishop,1977,
30,31,feels like the first time,foreigner,foreigner,1977,
31,32,couldn't get it right,climax blues band,climax blues band,1977,
32,33,easy,commodores,commodores,1977,
33,34,right time of the night,jennifer warnes,jennifer warnes,1977,
34,35,i've got love on my mind,natalie cole,natalie cole,1977,
35,36,blinded by the light,manfred mann's earth band,manfred mann's earth band,1977,
36,37,looks like we made it,barry manilow,barry manilow,1977,
37,38,so in to you,atlanta rhythm section,atlanta rhythm section,1977,
38,39,dreams,fleetwood mac,fleetwood mac,1977,
39,40,enjoy yourself,the jackson 5,the jacksons,1977,
40,41,dazz,brick,brick,1977,
41,42,i'm in you,peter frampton,peter frampton,1977,
42,43,lucille,kenny rogers,kenny rogers,1977,
43,44,the things we do for love,10cc,10cc,1977,
44,45,da doo ron ron,shaun cassidy,shaun cassidy,1977,
45,46,handy man,james taylor,james taylor,1977,
46,47,just a song before i go,"crosby, stills & nash","crosby, stills & nash",1977,
47,48,you and me,alice cooper,alice cooper,1977,
48,49,swayin' to the music (slow dancing),johnny rivers,johnny rivers,1977,
49,50,lonely boy,andrew gold,andrew gold,1977,
50,51,i wish,stevie wonder,stevie wonder,1977,
51,52,don't stop,fleetwood mac,fleetwood mac,1977,
52,53,barracuda,heart,heart,1977,
53,54,strawberry letter 23,the brothers johnson,the brothers johnson,1977,
54,55,night moves,bob seger,bob seger & the silver bullet band,1977,
55,56,you're my world,helen reddy,helen reddy,1977,
56,57,heard it in a love song,the marshall tucker band,the marshall tucker band,1977,
57,58,carry on wayward son,kansas,kansas,1977,
58,59,new kid in town,eagles,eagles,1977,
59,60,my heart belongs to me,barbra streisand,barbra streisand,1977,
60,61,after the lovin',engelbert humperdinck,engelbert humperdinck,1977,
61,62,jet airliner,steve miller band,steve miller band,1977,
62,63,stand tall,burton cummings,burton cummings,1977,
63,64,way down,elvis presley,elvis presley,1977,
64,65,weekend in new england,barry manilow,barry manilow,1977,
65,66,it was almost like a song,ronnie milsap,ronnie milsap,1977,
66,67,smoke from a distant fire,sanford-townsend band,sanford-townsend band,1977,
67,68,cold as ice,foreigner,foreigner,1977,
68,69,ariel,dean friedman,dean friedman,1977,
69,70,lost without your love,bread,bread,1977,
70,71,star wars theme/cantina band,meco,meco,1977,
71,72,float on,the floaters,the floaters,1977,
72,73,jeans on,lord david dundas,lord david dundas,1977,
73,74,lido shuffle,boz scaggs,boz scaggs,1977,
74,75,keep it comin' love,kc and the sunshine band,kc and the sunshine band,1977,
75,76,you made me believe in magic,bay city rollers,bay city rollers,1977,
76,77,livin' thing,electric light orchestra,electric light orchestra,1977,
77,78,give a little bit,supertramp,supertramp,1977,
78,79,that's rock 'n' roll,shaun cassidy,shaun cassidy,1977,
79,80,love so right,bee gees,bee gees,1977,
80,81,the rubberband man,the spinners,the spinners,1977,
81,82,i never cry,alice cooper,alice cooper,1977,
82,83,nobody does it better,carly simon,carly simon,1977,
83,84,high school dance,the sylvers,the sylvers,1977,
84,85,love's grown deep,kenny nolan,kenny nolan,1977,
85,86,ain't gonna bump no more (with no big fat woman),joe tex,joe tex,1977,
86,87,i wanna get next to you,rose royce,rose royce,1977,
87,88,somebody to love,queen,queen,1977,
88,89,muskrat love,captain & tennille,captain & tennille,1977,
89,90,walk this way,aerosmith,aerosmith,1977,
90,91,cherchez la femme,dr. buzzard's original savannah band,dr. buzzard's original savannah band,1977,
91,92,year of the cat,al stewart,al stewart,1977,
92,93,boogie nights,heatwave,heatwave,1977,
93,94,go your own way,fleetwood mac,fleetwood mac,1977,
94,95,sorry seems to be the hardest word,elton john,elton john,1977,
95,96,don't worry baby,b.j. thomas,b.j. thomas,1977,
96,97,"knowing me, knowing you",abba,abba,1977,
97,98,how much love,leo sayer,leo sayer,1977,
98,99,star wars (main title),london symphony orchestra,london symphony orchestra,1977,
99,100,devil's gun,c.j. & company,c.j. & company,1977,
0,1,shadow dancing,andy gibb,andy gibb,1978,
1,2,night fever,bee gees,bee gees,1978,
2,3,you light up my life,debby boone,debby boone,1978,
3,4,stayin' alive,bee gees,bee gees,1978,
4,5,kiss you all over,exile,exile,1978,
5,6,how deep is your love,bee gees,bee gees,1978,
6,7,baby come back,player,player,1978,
7,8,(love is) thicker than water,andy gibb,andy gibb,1978,
8,9,boogie oogie oogie,a taste of honey,a taste of honey,1978,
9,10,three times a lady,commodores,commodores,1978,
10,11,grease,frankie valli,frankie valli,1978,
11,12,i go crazy,paul davis,paul davis,1978,
12,13,you're the one that i want,john travolta,john travolta  &  olivia newton-john,1978,
13,14,emotion,samantha sang,samantha sang,1978,
14,15,lay down sally,eric clapton,eric clapton,1978,
15,16,miss you,the rolling stones,the rolling stones,1978,
16,17,just the way you are,billy joel,billy joel,1978,
17,18,with a little luck,wings,wings,1978,
18,19,if i can't have you,yvonne elliman,yvonne elliman,1978,
19,20,"dance, dance, dance (yowsah, yowsah, yowsah)",chic,chic,1978,
20,21,feels so good,chuck mangione,chuck mangione,1978,
21,22,hot child in the city,nick gilder,nick gilder,1978,
22,23,love is like oxygen,the sweet,sweet,1978,
23,24,it's a heartache,bonnie tyler,bonnie tyler,1978,
24,25,we will rock you,queen,queen,1978,
25,26,baker street,gerry rafferty,gerry rafferty,1978,
26,27,can't smile without you,barry manilow,barry manilow,1978,
27,28,"too much, too little, too late",johnny mathis,johnny mathis  &  deniece williams,1978,
28,29,dance with me,peter brown,peter brown,1978,
29,30,two out of three ain't bad,meat loaf,meat loaf,1978,
30,31,jack and jill,raydio,raydio,1978,
31,32,take a chance on me,abba,abba,1978,
32,33,sometimes when we touch,dan hill,dan hill,1978,
33,34,last dance,donna summer,donna summer,1978,
34,35,hopelessly devoted to you,olivia newton-john,olivia newton-john,1978,
35,36,hot blooded,foreigner,foreigner,1978,
36,37,you're in my heart (the final acclaim),rod stewart,rod stewart,1978,
37,38,the closer i get to you,roberta flack,roberta flack  &  donny hathaway,1978,
38,39,dust in the wind,kansas,kansas,1978,
39,40,magnet and steel,walter egan,walter egan,1978,
40,41,short people,randy newman,randy newman,1978,
41,42,use ta be my girl,the o'jays,the o'jays,1978,
42,43,our love,natalie cole,natalie cole,1978,
43,44,love will find a way,pablo cruise,pablo cruise,1978,
44,45,an everlasting love,andy gibb,andy gibb,1978,
45,46,love is in the air,dr hook,john paul young,1978,
46,47,goodbye girl,david gates,david gates,1978,
47,48,slip slidin' away,paul simon,paul simon,1978,
48,49,the groove line,heatwave,heatwave,1978,
49,50,thunder island,jay ferguson,jay ferguson,1978,
50,51,imaginary lover,atlanta rhythm section,atlanta rhythm section,1978,
51,52,still the same,bob seger,bob seger & the silver bullet band,1978,
52,53,my angel baby,toby beau,toby beau,1978,
53,54,disco inferno,the trammps,the trammps,1978,
54,55,on broadway,george benson,george benson,1978,
55,56,come sail away,styx,styx,1978,
56,57,(every time i turn around) back in love again,l.t.d.,l.t.d.,1978,
57,58,this time i'm in it for love,player,player,1978,
58,59,you belong to me,carly simon,carly simon,1978,
59,60,here you come again,dolly parton,dolly parton,1978,
60,61,blue bayou,linda ronstadt,linda ronstadt,1978,
61,62,peg,steely dan,steely dan,1978,
62,63,you needed me,anne murray,anne murray,1978,
63,64,shame,evelyn king,"evelyn ""champagne"" king",1978,
64,65,reminiscing,little river band,little river band,1978,
65,66,count on me,jefferson starship,jefferson starship,1978,
66,67,baby hold on,eddie money,eddie money,1978,
67,68,hey deanie,shaun cassidy,shaun cassidy,1978,
68,69,summer nights,john travolta,john travolta  &  olivia newton-john,1978,
69,70,what's your name,lynyrd skynyrd,lynyrd skynyrd,1978,
70,71,don't it make my brown eyes blue,crystal gayle,crystal gayle,1978,
71,72,because the night,patti smith,patti smith group,1978,
72,73,every kinda people,robert palmer,robert palmer,1978,
73,74,copacabana,barry manilow,barry manilow,1978,
74,75,always and forever,heatwave,heatwave,1978,
75,76,you and i,rick james,rick james,1978,
76,77,serpentine fire,"earth, wind & fire","earth, wind & fire",1978,
77,78,sentimental lady,bob welch,bob welch,1978,
78,79,falling,lenny leblanc,leblanc  &  carr,1978,
79,80,don't let me be misunderstood,santa esmeralda,santa esmeralda,1978,
80,81,bluer than blue,michael johnson,michael johnson,1978,
81,82,running on empty,jackson browne,jackson browne,1978,
82,83,whenever i call you 'friend',kenny loggins,kenny loggins  &  stevie nicks,1978,
83,84,fool (if you think it's over),chris rea,chris rea,1978,
84,85,get off,foxy,foxy,1978,
85,86,sweet talkin' woman,electric light orchestra,electric light orchestra,1978,
86,87,life's been good,joe walsh,joe walsh,1978,
87,88,i love the nightlife,alicia bridges,alicia bridges,1978,
88,89,you can't turn me off (in the middle of turning me on),high inergy,high inergy,1978,
89,90,it's so easy,linda ronstadt,linda ronstadt,1978,
90,91,native new yorker,odyssey,odyssey,1978,
91,92,flash light,parliament,parliament,1978,
92,93,don't look back,boston,boston,1978,
93,94,turn to stone,electric light orchestra,electric light orchestra,1978,
94,95,i can't stand the rain,eruption,eruption,1978,
95,96,ebony eyes,bob welch,bob welch,1978,
96,97,the name of the game,abba,abba,1978,
97,98,we're all alone,rita coolidge,rita coolidge,1978,
98,99,hollywood nights,bob seger,bob seger & the silver bullet band,1978,
99,100,deacon blues,steely dan,steely dan,1978,
0,1,my sharona,the knack,the knack,1979,
1,2,bad girls,donna summer,donna summer,1979,
2,3,le freak,chic,chic,1979,
3,4,da ya think i'm sexy?,rod stewart,rod stewart,1979,
4,5,reunited,peaches & herb,peaches & herb,1979,
5,6,i will survive,gloria gaynor,gloria gaynor,1979,
6,7,hot stuff,donna summer,donna summer,1979,
7,8,y.m.c.a.,village people,village people,1979,
8,9,ring my bell,anita ward,anita ward,1979,
9,10,sad eyes,robert john,robert john,1979,
10,11,too much heaven,bee gees,bee gees,1979,
11,12,macarthur park,donna summer,donna summer,1979,
12,13,when you're in love with a beautiful woman,dr. hook,dr. hook,1979,
13,14,makin' it,david naughton,david naughton,1979,
14,15,fire,the pointer sisters,the pointer sisters,1979,
15,16,tragedy,bee gees,bee gees,1979,
16,17,a little more love,olivia newton-john,olivia newton-john,1979,
17,18,heart of glass,blondie,blondie,1979,
18,19,what a fool believes,the doobie brothers,the doobie brothers,1979,
19,20,good times,chic,chic,1979,
20,21,you don't bring me flowers,neil diamond,neil diamond  &  barbra streisand,1979,
21,22,knock on wood,amii stewart,amii stewart,1979,
22,23,stumblin' in,suzi quatro,suzi quatro  &  chris norman,1979,
23,24,lead me on,maxine nightingale,maxine nightingale,1979,
24,25,shake your body (down to the ground),the jackson 5,the jacksons,1979,
25,26,don't cry out loud,melissa manchester,melissa manchester,1979,
26,27,the logical song,supertramp,supertramp,1979,
27,28,my life,billy joel,billy joel,1979,
28,29,just when i needed you most,randy vanwarmer,randy vanwarmer,1979,
29,30,you can't change that,raydio,raydio,1979,
30,31,shake your groove thing,peaches & herb,peaches & herb,1979,
31,32,i'll never love this way again,dionne warwick,dionne warwick,1979,
32,33,love you inside out,bee gees,bee gees,1979,
33,34,i want you to want me,cheap trick,cheap trick,1979,
34,35,the main event/fight,barbra streisand,barbra streisand,1979,
35,36,mama can't buy you love,elton john,elton john,1979,
36,37,i was made for dancin',leif garrett,leif garrett,1979,
37,38,after the love has gone,"earth, wind & fire","earth, wind & fire",1979,
38,39,heaven knows,donna summer,donna summer  and  brooklyn dreams,1979,
39,40,the gambler,kenny rogers,kenny rogers,1979,
40,41,lotta love,nicolette larson,nicolette larson,1979,
41,42,lady,little river band,little river band,1979,
42,43,heaven must have sent you,bonnie pointer,bonnie pointer,1979,
43,44,hold the line,toto,toto,1979,
44,45,he's the greatest dancer,sister sledge,sister sledge,1979,
45,46,sharing the night together,dr. hook & the medicine show,dr. hook & the medicine show,1979,
46,47,she believes in me,kenny rogers,kenny rogers,1979,
47,48,in the navy,village people,village people,1979,
48,49,music box dancer,frank mills,frank mills,1979,
49,50,the devil went down to georgia,charlie daniels,the charlie daniels band,1979,
50,51,gold,john stewart,john stewart,1979,
51,52,goodnight tonight,wings,wings,1979,
52,53,we are family,sister sledge,sister sledge,1979,
53,54,rock 'n' roll fantasy,bad company,bad company,1979,
54,55,every 1's a winner,hot chocolate,hot chocolate,1979,
55,56,take me home,cher,cher,1979,
56,57,boogie wonderland,"earth, wind & fire","earth, wind & fire  &  the emotions",1979,
57,58,(our love) don't throw it all away,andy gibb,andy gibb,1979,
58,59,what you won't do for love,bobby caldwell,bobby caldwell,1979,
59,60,new york groove,ace frehley,ace frehley,1979,
60,61,sultans of swing,dire straits,dire straits,1979,
61,62,i want your love,chic,chic,1979,
62,63,chuck e.'s in love,rickie lee jones,rickie lee jones,1979,
63,64,i love the nightlife,alicia bridges,alicia bridges,1979,
64,65,ain't no stoppin' us now,mcfadden & whitehead,mcfadden & whitehead,1979,
65,66,lonesome loser,little river band,little river band,1979,
66,67,renegade,styx,styx,1979,
67,68,love is the answer,england dan & john ford coley,england dan & john ford coley,1979,
68,69,got to be real,cheryl lynn,cheryl lynn,1979,
69,70,born to be alive,patrick hernandez,patrick hernandez,1979,
70,71,shine a little love,electric light orchestra,electric light orchestra,1979,
71,72,i just fall in love again,anne murray,anne murray,1979,
72,73,shake it,iain matthews,ian matthews,1979,
73,74,i was made for lovin' you,kiss,kiss,1979,
74,75,i just wanna stop,gino vannelli,gino vannelli,1979,
75,76,disco nights (rock-freak),gq,gq,1979,
76,77,ooo baby baby,linda ronstadt,linda ronstadt,1979,
77,78,september,"earth, wind & fire","earth, wind & fire",1979,
78,79,time passages,al stewart,al stewart,1979,
79,80,rise,herb alpert,herb alpert,1979,
80,81,don't bring me down,electric light orchestra,electric light orchestra,1979,
81,82,promises,eric clapton,eric clapton,1979,
82,83,get used to it,roger voudouris,roger voudouris,1979,
83,84,how much i feel,ambrosia,ambrosia,1979,
84,85,suspicions,eddie rabbitt,eddie rabbitt,1979,
85,86,you take my breath away,rex smith,rex smith,1979,
86,87,how you gonna see me now,alice cooper,alice cooper,1979,
87,88,double vision,foreigner,foreigner,1979,
88,89,everytime i think of you,the babys,the babys,1979,
89,90,i got my mind made up (you can get it girl),instant funk,instant funk,1979,
90,91,don't stop 'til you get enough,michael jackson,michael jackson,1979,
91,92,"bad case of loving you (doctor, doctor)",robert palmer,robert palmer,1979,
92,93,somewhere in the night,barry manilow,barry manilow,1979,
93,94,we've got tonight,bob seger,bob seger & the silver bullet band,1979,
94,95,dance the night away,van halen,van halen,1979,
95,96,dancin' shoes,nigel olsson,nigel olsson,1979,
96,97,the boss,diana ross,diana ross,1979,
97,98,sail on,commodores,commodores,1979,
98,99,i do love you,gq,gq,1979,
99,100,strange way,firefall,firefall,1979,
0,1,call me,blondie,blondie,1980,
1,2,"another brick in the wall, part ii",pink floyd,pink floyd,1980,
2,3,magic,olivia newton-john,olivia newton-john,1980,
3,4,rock with you,michael jackson,michael jackson,1980,
4,5,do that to me one more time,captain & tennille,captain & tennille,1980,
5,6,crazy little thing called love,queen,queen,1980,
6,7,coming up,paul mccartney,paul mccartney,1980,
7,8,funkytown,lipps inc,lipps inc,1980,
8,9,it's still rock and roll to me,billy joel,billy joel,1980,
9,10,the rose,bette midler,bette midler,1980,
10,11,escape (the piña colada song),rupert holmes,rupert holmes,1980,
11,12,cars,gary numan,gary numan,1980,
12,13,cruisin,smokey robinson,smokey robinson,1980,
13,14,working my way back to you,the spinners,the spinners,1980,
14,15,lost in love,air supply,air supply,1980,
15,16,little jeannie,elton john,elton john,1980,
16,17,ride like the wind,christopher cross,christopher cross,1980,
17,18,upside down,diana ross,diana ross,1980,
18,19,please don't go,kc and the sunshine band,kc and the sunshine band,1980,
19,20,babe,styx,styx,1980,
20,21,with you i'm born again,billy preston,billy preston  and  syreeta,1980,
21,22,shining star,the manhattans,the manhattans,1980,
22,23,still,commodores,commodores,1980,
23,24,"yes, i'm ready",teri desario,teri desario  &  kc,1980,
24,25,sexy eyes,dr. hook,dr. hook,1980,
25,26,steal away,robbie dupree,robbie dupree,1980,
26,27,biggest part of me,ambrosia,ambrosia,1980,
27,28,this is it,kenny loggins,kenny loggins,1980,
28,29,cupid,the spinners,the spinners,1980,
29,30,let's get serious,jermaine jackson,jermaine jackson,1980,
30,31,don't fall in love with a dreamer,kenny rogers,kenny rogers  &  kim carnes,1980,
31,32,sailing,christopher cross,christopher cross,1980,
32,33,longer,dan fogelberg,dan fogelberg,1980,
33,34,coward of the county,kenny rogers,kenny rogers,1980,
34,35,ladies' night,kool & the gang,kool & the gang,1980,
35,36,too hot,kool & the gang,kool & the gang,1980,
36,37,take your time (do it right),the sos band,the sos band,1980,
37,38,no more tears (enough is enough),barbra streisand,barbra streisand  &  donna summer,1980,
38,39,more love,kim carnes,kim carnes,1980,
39,40,pop muzik,m,m,1980,
40,41,brass in pocket,the pretenders,the pretenders,1980,
41,42,special lady,"ray, goodman & brown","ray, goodman & brown",1980,
42,43,send one your love,stevie wonder,stevie wonder,1980,
43,44,the second time around,shalamar,shalamar,1980,
44,45,we don't talk anymore,cliff richard,cliff richard,1980,
45,46,stomp!,the brothers johnson,the brothers johnson,1980,
46,47,heartache tonight,eagles,eagles,1980,
47,48,tired of toein' the line,rocky burnette,rocky burnette,1980,
48,49,better love next time,dr. hook,dr. hook,1980,
49,50,him,rupert holmes,rupert holmes,1980,
50,51,against the wind,bob seger,bob seger and the silver bullet band,1980,
51,52,on the radio,donna summer,donna summer,1980,
52,53,emotional rescue,the rolling stones,the rolling stones,1980,
53,54,rise,herb alpert,herb alpert,1980,
54,55,all out of love,air supply,air supply,1980,
55,56,cool change,little river band,little river band,1980,
56,57,you're only lonely,j.d. souther,j.d. souther,1980,
57,58,desire,andy gibb,andy gibb,1980,
58,59,let my love open the door,pete townshend,pete townshend,1980,
59,60,romeo's tune,steve forbert,steve forbert,1980,
60,61,daydream believer,anne murray,anne murray,1980,
61,62,i can't tell you why,eagles,eagles,1980,
62,63,don't let go,isaac hayes,isaac hayes,1980,
63,64,don't do me like that,tom petty and the heartbreakers,tom petty and the heartbreakers,1980,
64,65,she's out of my life,michael jackson,michael jackson,1980,
65,66,fame,irene cara,irene cara,1980,
66,67,fire lake,bob seger and the silver bullet band,bob seger and the silver bullet band,1980,
67,68,how do i make you,linda ronstadt,linda ronstadt,1980,
68,69,into the night,benny mardones,benny mardones,1980,
69,70,let me love you tonight,pure prairie league,pure prairie league,1980,
70,71,misunderstanding,genesis,genesis,1980,
71,72,an american dream,the dirt band,the dirt band,1980,
72,73,one fine day,carole king,carole king,1980,
73,74,dim all the lights,donna summer,donna summer,1980,
74,75,you may be right,billy joel,billy joel,1980,
75,76,should've never let you go,neil sedaka,neil  & dara sedaka,1980,
76,77,pilot of the airwaves,charlie dore,charlie dore,1980,
77,78,hurt so bad,linda ronstadt,linda ronstadt,1980,
78,79,off the wall,michael jackson,michael jackson,1980,
79,80,i pledge my love,peaches & herb,peaches & herb,1980,
80,81,the long run,eagles,eagles,1980,
81,82,stand by me,mickey gilley,mickey gilley,1980,
82,83,heartbreaker,pat benatar,pat benatar,1980,
83,84,déjà vu,dionne warwick,dionne warwick,1980,
84,85,drivin' my life away,eddie rabbitt,eddie rabbitt,1980,
85,86,take the long way home,supertramp,supertramp,1980,
86,87,sara,fleetwood mac,fleetwood mac,1980,
87,88,wait for me,hall & oates,hall & oates,1980,
88,89,jojo,boz scaggs,boz scaggs,1980,
89,90,youve lost that lovin feeling,hall and oates,neil diamond,1980,
90,91,give me the night,george benson,george benson,1980,
91,92,broken hearted me,anne murray,anne murray,1980,
92,93,you decorated my life,kenny rogers,kenny rogers,1980,
93,94,tusk,fleetwood mac,fleetwood mac,1980,
94,95,i wanna be your lover,prince,prince,1980,
95,96,in america,charlie daniels,charlie daniels band,1980,
96,97,breakdown dead ahead,boz scaggs,boz scaggs,1980,
97,98,ships,barry manilow,barry manilow,1980,
98,99,all night long,joe walsh,joe walsh,1980,
99,100,refugee,tom petty and the heartbreakers,tom petty and the heartbreakers,1980,
0,1,bette davis eyes,kim carnes,kim carnes,1981,
1,2,endless love,diana ross,diana ross  &  lionel richie,1981,
2,3,lady,kenny rogers,kenny rogers,1981,
3,4,(just like) starting over,john lennon,john lennon,1981,
4,5,jessie's girl,rick springfield,rick springfield,1981,
5,6,celebration,kool & the gang,kool & the gang,1981,
6,7,kiss on my list,hall & oates,hall & oates,1981,
7,8,i love a rainy night,eddie rabbitt,eddie rabbitt,1981,
8,9,9 to 5,dolly parton,dolly parton,1981,
9,10,keep on loving you,reo speedwagon,reo speedwagon,1981,
10,11,theme from the greatest american hero (believe it or not),joey scarbury,joey scarbury,1981,
11,12,morning train (nine to five),sheena easton,sheena easton,1981,
12,13,being with you,smokey robinson,smokey robinson,1981,
13,14,queen of hearts,juice newton,juice newton,1981,
14,15,rapture,blondie,blondie,1981,
15,16,a woman needs love (just like you do),raydio,raydio,1981,
16,17,the tide is high,blondie,blondie,1981,
17,18,just the two of us,"grover washington, jr.","grover washington, jr.  &  bill withers",1981,
18,19,slow hand,the pointer sisters,the pointer sisters,1981,
